Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:41,2022-12-09 20:52:41,0.005s,PASSED
"response = sendRequest(findTestObject(""User/AB003_GetProfPost""))",,,,2022-12-09 20:52:41,2022-12-09 20:52:41,0.333s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:41,2022-12-09 20:52:41,0.004s,PASSED
"response = sendRequest(findTestObject(""User/AB004_GetProfPut""))",,,,2022-12-09 20:52:41,2022-12-09 20:52:41,0.255s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:41,2022-12-09 20:52:41,0.004s,PASSED
,,,,,,,
Test Cases/TC_User_TotalUser,,,,2022-12-09 20:52:41,2022-12-09 20:52:44,2.799s,PASSED
"response = sendRequest(findTestObject(""User/AB005_GetTotalUser""))",,,,2022-12-09 20:52:42,2022-12-09 20:52:42,0.288s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:42,2022-12-09 20:52:42,0.003s,PASSED
"response = sendRequest(findTestObject(""User/AB006_New Request""))",,,,2022-12-09 20:52:42,2022-12-09 20:52:42,0.280s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:42,2022-12-09 20:52:42,0.003s,PASSED
"response = sendRequest(findTestObject(""User/AB003_GetProfPost""))",,,,2022-12-09 20:52:42,2022-12-09 20:52:44,1.263s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:44,2022-12-09 20:52:44,0.006s,PASSED
"response = sendRequest(findTestObject(""User/AB004_GetProfPut""))",,,,2022-12-09 20:52:44,2022-12-09 20:52:44,0.415s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:44,2022-12-09 20:52:44,0.003s,PASSED
,,,,,,,
Test Cases/TC_Product_CategoryList,,,,2022-12-09 20:52:44,2022-12-09 20:52:46,1.649s,PASSED
"response = sendRequest(findTestObject(""Product/AE015_GetCategoryList""))",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.229s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.002s,PASSED
"response = sendRequest(findTestObject(""Product/AE016_GetCateListLink""))",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.362s,PASSED
"verifyResponseStatusCode(response, statusCode6)",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.002s,PASSED
"response = sendRequest(findTestObject(""Product/AE013_TotProdPost""))",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.241s,PASSED
"verifyResponseStatusCode(response, statusCode4)",,,,2022-12-09 20:52:45,2022-12-09 20:52:45,0.004s,PASSED
"response = sendRequest(findTestObject(""Product/AE018_GetCateListPut""))",,,,2022-12-09 20:52:45,2022-12-09 20:52:46,0.297s,PASSED
"verifyResponseStatusCode(response, statusCode5)",,,,2022-12-09 20:52:46,2022-12-09 20:52:46,0.005s,PASSED
,,,,,,,
Test Cases/TC_Product_CategoryListByProductType,,,,2022-12-09 20:52:46,2022-12-09 20:52:47,1.294s,PASSED
"response = sendRequest(findTestObject(""Product/AE019_GetCateListByProdType""))",,,,2022-12-09 20:52:46,2022-12-09 20:52:46,0.269s,PASSED
"verifyResponseStatusCode(response, statusCode)",,,,2022-12-09 20:52:46,2022-12-09 20:52:46,0.002s,PASSED
